id,name,aadhaar,bank_account,bank_name,address,district,scheme,amount,dob,mobile,registration_date
64,Rekha Tiwari,527353642357,00412918285,State Bank of India,"House 563, Rampur, Sonitpur",Sonitpur,PM-KISAN,4746.47,1995-01-08,9255904610,2025-05-06
65,Mangala Rani,000305661995,30564184937,UCO Bank,"House 681, Model Town, Nagaon",Nagaon,Ayushman Bharat,45374.12,1974-11-09,9679087018,2023-01-15
66,Santosh Das,519825309251,14262582739,State Bank of India,"House 137, Rampur, Kanpur",Kanpur,NSAP Pension,5122.42,1967-07-04,9207100219,2024-02-04
67,Rajesh Rani,974669861634,21254508095,UCO Bank,"House 940, Shantinagar, Jorhat",Jorhat,MGNREGA,9096.55,1970-08-06,9269255966,2023-12-29
68,Deepak Kumar,203922131701,95866399287,UCO Bank,"House 538, Model Town, Dhubri",Dhubri,PMKVY Skill Dev,13808.43,1956-08-28,9314249562,2022-06-15
69,Suresh Jha,569991383100,64332262277,Canara Bank,"House 479, Krishnanagar, Sonitpur",Sonitpur,Ayushman Bharat,14168.84,1994-06-26,9680664707,2025-08-31
70,Meera Rani,877006239459,11615594078,UCO Bank,"House 694, Model Town, Gorakhpur",Gorakhpur,PMKVY Skill Dev,11348.57,1986-12-05,9640760895,2024-07-12
71,Dinesh Verma,927671377188,62639561266,Canara Bank,"House 557, Krishnanagar, Jorhat",Jorhat,Ayushman Bharat,47298.0,1967-11-08,9573713887,2021-06-30
72,Usha Nath,365155973714,70827235909,Canara Bank,"House 64, Model Town, Kamrup",Kamrup,Ayushman Bharat,21267.17,1962-08-31,9730306442,2025-03-20
73,Santosh Kumar,982150648909,01001676184,Canara Bank,"House 719, Krishnanagar, Nagaon",Nagaon,MGNREGA,5465.94,2000-06-01,9461849926,2025-02-05
74,Vinod Kumar,265295164693,33562303974,Punjab National Bank,"House 871, Rampur, Dhubri",Dhubri,PMKVY Skill Dev,14037.65,1996-06-16,9670898709,2024-09-28
75,Santosh Devi,972242284834,92766809846,State Bank of India,"House 978, Rampur, Kamrup",Kamrup,NSAP Pension,5178.75,1998-03-28,9403348015,2024-06-16
76,Geeta Tiwari,367862107818,71096856425,Canara Bank,"House 860, Rampur, Jorhat",Jorhat,PM-KISAN,3626.18,2001-01-16,9269331542,2021-09-21
77,Leela Tiwari,930596601864,87699842673,Bank of Baroda,"House 930, Rampur, Sonitpur",Sonitpur,PM Awas Yojana,128421.0,1976-08-19,9138459609,2024-02-24
78,Deepak Singh,717481131765,39705487396,State Bank of India,"House 11, Bapunagar, Dhubri",Dhubri,PM-KISAN,2513.54,1998-09-19,9871827496,2022-09-06
79,Mohan Devi,014257627023,24412336132,UCO Bank,"House 866, Model Town, Kanpur",Kanpur,MGNREGA,7491.09,1958-06-05,9251786376,2023-02-01
80,Mohan Mishra,126043260931,06684335670,UCO Bank,"House 438, Bapunagar, Lucknow",Lucknow,NSP Scholarship,3464.9,1991-05-18,9454563502,2025-06-16
81,Lalita Gupta,624467046226,81715160252,UCO Bank,"House 520, Gandhi Nagar, Jorhat",Jorhat,Ayushman Bharat,35883.44,2000-03-18,9766046419,2023-02-28
82,Lalita Reddy,160169236458,75066337050,Bank of Baroda,"House 268, Nehru Vihar, Dhubri",Dhubri,PM Awas Yojana,133664.12,1988-01-12,9439920116,2023-06-16
83,Anita Kumar,100343449975,85861888178,Canara Bank,"House 55, Bapunagar, Darrang",Darrang,PMKVY Skill Dev,386666.37,1989-07-06,9159927943,2023-02-16
84,Anita Yadav,696084376855,07896793521,UCO Bank,"House 858, Bapunagar, Allahabad",Allahabad,Ayushman Bharat,35747.53,1986-02-22,9633556434,2024-05-23
85,Sanjay Kumar,391045203608,94118491359,UCO Bank,"House 914, Krishnanagar, Varanasi",Varanasi,MGNREGA,14518.13,1969-01-10,9535952056,2025-04-16
86,Rajesh Iyer,171620429851,44869830521,Canara Bank,"House 979, Nehru Vihar, Sonitpur",Sonitpur,Ayushman Bharat,5353.86,1985-03-05,9202698014,2024-08-26
87,Vijay Mishra,387220542216,26549633083,Bank of Baroda,"House 297, Shantinagar, Sivasagar",Sivasagar,NSP Scholarship,5718.38,1999-08-04,9488789950,2024-03-02
88,Rekha Yadav,897526772233,06046333127,UCO Bank,"House 502, Bapunagar, Allahabad",Allahabad,NSAP Pension,3164.56,1960-03-15,9366096569,2021-07-10
89,Pushpa Kumar,676183762950,76716217204,UCO Bank,"House 537, Model Town, Barpeta",Barpeta,NSP Scholarship,7645.31,1996-10-28,9418693032,2023-07-08
90,Ramesh Pandey,335048889921,07522459334,Punjab National Bank,"House 95, Nehru Vihar, Nagaon",Nagaon,PM Awas Yojana,131993.95,1981-09-29,9157279194,2025-06-23
91,Anjali Mishra,998242662177,58015846687,UCO Bank,"House 890, Krishnanagar, Lakhimpur",Lakhimpur,PM Awas Yojana,120129.01,1983-02-03,9028532727,2021-06-16
92,Suresh Kumar,902559056165,56503334911,Punjab National Bank,"House 118, Shantinagar, Goalpara",Goalpara,PM Awas Yojana,125093.38,1971-12-29,9076986407,2022-05-22
93,Sunita Nath,780664315890,16492815037,State Bank of India,"House 118, Gandhi Nagar, Allahabad",Allahabad,PMKVY Skill Dev,8652.79,1987-04-01,9640703088,2025-07-05
94,Anjali Pandey,768701462638,38065787598,Punjab National Bank,"House 398, Shantinagar, Varanasi",Varanasi,PMKVY Skill Dev,10157.79,1972-08-23,9930407859,2024-05-19
95,Lalita Gupta,927742333059,12662015720,State Bank of India,"House 528, Bapunagar, Goalpara",Goalpara,Ayushman Bharat,20231.86,1962-05-01,9263013674,2021-10-30
96,Ashok Jha,747016873395,00479748016,Bank of Baroda,"House 904, Shantinagar, Nagaon",Nagaon,Ayushman Bharat,37737.86,1965-01-27,9506098358,2024-01-25
97,Vinod Singh,880678214174,68135926648,Canara Bank,"House 632, Bapunagar, Varanasi",Varanasi,NSAP Pension,4061.3,1978-11-30,9969874869,2023-12-08
98,Vijay Devi,645234286449,76024986634,Bank of Baroda,"House 764, Rampur, Allahabad",Allahabad,PMKVY Skill Dev,16756.19,1969-04-04,9367734985,2024-09-09
99,Rekha Verma,644556185790,64771591030,State Bank of India,"House 143, Rampur, Barpeta",Barpeta,PM-KISAN,5974.16,1962-03-01,9321358004,2025-06-11
100,Mangala Sharma,022526771196,42152265576,Canara Bank,"House 711, Gandhi Nagar, Jorhat",Jorhat,PM Awas Yojana,138052.29,1971-05-03,9236687887,2022-09-13
101,Prakash Sharma,228217819236,53460605603,Punjab National Bank,"House 401, Gandhi Nagar, Lucknow",Lucknow,PMKVY Skill Dev,15277.24,1981-02-02,9279862398,2024-01-27
102,Ashok Verma,687851856905,09656882672,UCO Bank,"House 36, Rampur, Lakhimpur",Lakhimpur,PMKVY Skill Dev,13750.01,1987-04-01,9720814723,2023-02-12
103,Prakash Reddy,658271091043,00684866618,UCO Bank,"House 631, Krishnanagar, Nagaon",Nagaon,Ayushman Bharat,17486.05,1973-06-12,9183285691,2023-12-12
104,Santosh Kumar,913111786190,25476022069,Punjab National Bank,"House 942, Krishnanagar, Allahabad",Allahabad,PM Awas Yojana,129453.81,1977-03-15,9120122759,2023-09-07
105,Meera Mukherjee,374495975213,53175559289,Canara Bank,"House 282, Nehru Vihar, Sivasagar",Sivasagar,PM Awas Yojana,141256.13,1976-06-13,9114862675,2021-06-03
106,Leela Roy,734540193802,62067240049,UCO Bank,"House 110, Shantinagar, Sivasagar",Sivasagar,NSP Scholarship,5561.05,1956-12-09,9287431527,2022-01-19
107,Kiran Jha,239504102767,47836674286,State Bank of India,"House 296, Model Town, Sivasagar",Sivasagar,MGNREGA,8385.85,1972-12-05,9801856945,2024-03-03
108,Meera Devi,420340301095,67975649157,UCO Bank,"House 694, Model Town, Lucknow",Lucknow,PM-KISAN,5992.16,1967-11-18,9462347124,2023-02-05
109,Rajesh Gupta,515217465353,78018915673,Punjab National Bank,"House 286, Model Town, Darrang",Darrang,PMKVY Skill Dev,12578.19,1993-05-22,9776296914,2024-06-05
110,Kiran Patel,192134249128,96599949732,State Bank of India,"House 803, Krishnanagar, Gorakhpur",Gorakhpur,NSP Scholarship,11901.79,1993-01-21,9922270510,2024-12-01
111,Suresh Ghosh,104332181960,79402654235,UCO Bank,"Plot No.1, Near Bus Stand, Main Road, Lucknow",Nagaon,MGNREGA,10739.09,1966-04-08,9469243435,2024-04-11
112,Rajesh Verma,675677002842,76246719788,UCO Bank,"House 482, Gandhi Nagar, Kanpur",Kanpur,PM-KISAN,4249.02,1987-03-25,9806479695,2021-05-22
113,Saroj Patel,350557385736,80119236037,Canara Bank,"House 548, Bapunagar, Sivasagar",Sivasagar,Ayushman Bharat,8267.18,1961-08-30,9233351040,2022-05-23
114,Leela Jha,560417765612,48156985700,Bank of Baroda,"House 646, Gandhi Nagar, Darrang",Darrang,MGNREGA,12492.23,1989-01-15,9063459112,2024-04-14
115,Bharat Mukherjee,439910622723,62669335134,Bank of Baroda,"House 915, Gandhi Nagar, Kamrup",Kamrup,PM Awas Yojana,123704.14,1987-08-18,9372450184,2022-09-30
116,Rekha Ghosh,332584868999,36079848704,Punjab National Bank,"House 19, Gandhi Nagar, Barpeta",Barpeta,PM-KISAN,4357.28,1995-08-14,9767993593,2023-03-02
117,Anjali Roy,970581629518,77941763425,State Bank of India,"House 486, Krishnanagar, Darrang",Darrang,NSAP Pension,2738.0,2000-12-22,9559782457,2023-12-04
118,Ashok Pandey,391065735174,54693510214,State Bank of India,"House 930, Model Town, Lakhimpur",Lakhimpur,NSAP Pension,5013.66,1987-09-30,9833195589,2021-09-22
119,Vinod Roy,062932880983,22101023200,State Bank of India,"House 709, Nehru Vihar, Lucknow",Lucknow,NSP Scholarship,6473.46,1962-04-26,9610089876,2025-01-01
120,Lalita Tiwari,938819490531,52049980949,Canara Bank,"House 952, Gandhi Nagar, Barpeta",Barpeta,NSP Scholarship,10049.93,1957-01-14,9313797166,2022-04-22
121,Bharat Devi,013389083863,14972490322,Bank of Baroda,"House 275, Gandhi Nagar, Lakhimpur",Lakhimpur,PM Awas Yojana,134618.97,1975-01-20,9695093555,2023-10-03
122,Leela Singh,222349980137,68367590177,UCO Bank,"House 74, Shantinagar, Nagaon",Nagaon,NSAP Pension,2428.82,1973-12-09,9461440923,2024-04-23
123,Lalita Reddy,866469365618,33597487680,Punjab National Bank,"House 704, Gandhi Nagar, Lucknow",Lucknow,PMKVY Skill Dev,8590.11,1984-08-02,9377184301,2022-07-11
124,Kavita Reddy,851602119158,91268649864,Canara Bank,"House 570, Gandhi Nagar, Darrang",Darrang,NSP Scholarship,10120.47,1963-06-15,9237600884,2023-12-09
125,Bharat Singh,306738302843,95995342836,Punjab National Bank,"House 282, Rampur, Varanasi",Varanasi,NSP Scholarship,8010.46,1985-07-16,9687056856,2023-05-25
126,Geeta Jha,445187053494,93759738320,Canara Bank,"House 25, Krishnanagar, Barpeta",Barpeta,Ayushman Bharat,29369.53,2000-05-22,9506413836,2022-12-05
127,Anjali Devi,984884021557,32573755344,UCO Bank,"House 766, Rampur, Kamrup",Kamrup,Ayushman Bharat,11312.15,1964-05-25,9667080850,2022-07-07
128,Lalita Iyer,737418972154,06417692743,UCO Bank,"House 106, Rampur, Kamrup",Kamrup,NSAP Pension,5989.94,1968-09-21,9376601444,2022-02-04
129,Prakash Sharma,438424981829,92299590010,UCO Bank,"House 272, Bapunagar, Sonitpur",Sonitpur,PM Awas Yojana,126324.25,1963-11-17,9907844736,2024-01-07
130,Anjali Mishra,480396522395,59059929378,Punjab National Bank,"House 180, Gandhi Nagar, Nagaon",Nagaon,PM-KISAN,2151.85,1996-03-18,9393087059,2024-07-22
131,Kiran Kumar,934242406628,34633488933,Punjab National Bank,"House 214, Gandhi Nagar, Lakhimpur",Lakhimpur,PMKVY Skill Dev,12451.12,1967-01-18,9694086542,2024-02-03
132,Sunita Verma,724005045562,38692221969,Bank of Baroda,"House 510, Nehru Vihar, Kamrup",Kamrup,Ayushman Bharat,11440.3,1959-11-18,9474074821,2023-03-18
133,Bharat Rani,596309938425,30428973179,State Bank of India,"House 172, Nehru Vihar, Gorakhpur",Gorakhpur,Ayushman Bharat,22465.21,1967-09-04,9787255877,2023-01-11
134,Kavita Roy,432630397524,50864035533,UCO Bank,"House 56, Bapunagar, Barpeta",Barpeta,MGNREGA,14860.52,1981-04-17,9968527017,2025-04-17
135,Deepak Devi,689698703688,30048379363,State Bank of India,"House 784, Shantinagar, Darrang",Darrang,PM Awas Yojana,137299.59,1984-12-31,9291270659,2024-06-08
136,Anita Kumar,713984822850,11688092550,Bank of Baroda,"House 924, Rampur, Lucknow",Lucknow,NSP Scholarship,9158.85,2000-09-20,9609069130,2022-07-11
137,Bharat Ghosh,625676112584,23300805630,UCO Bank,"House 717, Krishnanagar, Barpeta",Barpeta,MGNREGA,9936.44,1986-05-07,9482873210,2023-01-15
138,Kavita Devi,967433384965,52391703353,State Bank of India,"House 898, Model Town, Kamrup",Kamrup,NSAP Pension,2032.69,1985-02-03,9665361977,2024-05-13
139,Anita Tiwari,113257970673,49960105485,Canara Bank,"House 946, Shantinagar, Varanasi",Varanasi,PMKVY Skill Dev,9332.37,1989-03-15,9156229493,2022-07-15
140,Suresh Gupta,234614466276,33041176142,State Bank of India,"House 384, Krishnanagar, Goalpara",Goalpara,NSAP Pension,3041.19,1980-11-27,9196863647,2025-07-14
141,Anita Devi,741424873962,62591883124,UCO Bank,"House 976, Model Town, Barpeta",Barpeta,NSAP Pension,5642.72,1960-12-02,9367724434,2024-07-30
142,Sanjay Sharma,459642297125,29671883977,Punjab National Bank,"House 330, Model Town, Kamrup",Kamrup,PM-KISAN,4923.46,1980-12-27,9144158331,2025-04-07
143,Lalita Roy,913787655300,73095055605,Canara Bank,"House 88, Krishnanagar, Lakhimpur",Lakhimpur,PMKVY Skill Dev,18116.27,1990-10-19,9927788519,2025-07-03
144,Meera Pandey,660241613944,98830597364,Bank of Baroda,"House 284, Nehru Vihar, Allahabad",Allahabad,PM-KISAN,4685.76,1965-06-26,9244063062,2024-02-23
145,Rajesh Sharma,734479459235,16383264897,State Bank of India,"House 704, Bapunagar, Barpeta",Barpeta,PM-KISAN,5408.97,1935-02-08,9170781294,2022-02-12
146,Sanjay Nath,474367136959,44064090974,Bank of Baroda,"House 622, Model Town, Jorhat",Jorhat,PMKVY Skill Dev,12227.85,1984-03-11,9942104709,2023-08-22
147,Rajan Verma,186018112399,99999999999,Bank of Baroda,"House 201, Rampur, Lucknow",Lucknow,PM-KISAN,2728.44,1969-03-17,9987920623,2025-01-15
148,Savita Rani,667063621986,55049444076,Canara Bank,"House 202, Bapunagar, Sivasagar",Sivasagar,PMKVY Skill Dev,11674.03,1984-05-02,9396504962,2023-02-21
149,Pushpa Reddy,100420288661,68019903421,Bank of Baroda,"House 265, Nehru Vihar, Barpeta",Barpeta,PM Awas Yojana,146859.56,1971-09-22,9484203531,2023-04-20
150,Anita Devi,618537474112,49035213568,State Bank of India,"House 694, Shantinagar, Nagaon",Nagaon,Ayushman Bharat,16707.51,1985-08-26,9067883171,2024-11-25
151,Rajesh Verma,829803657744,91609365952,State Bank of India,"House 79, Shantinagar, Jorhat",Jorhat,NSAP Pension,4335.5,1990-03-14,9894184336,2022-09-18
152,Pushpa Yadav,546291486528,16850542357,Bank of Baroda,"House 232, Krishnanagar, Jorhat",Jorhat,PM-KISAN,2619.78,1974-09-18,9188805929,2023-07-29
153,Ramesh Jha,240787541815,63268685074,Punjab National Bank,"House 101, Rampur, Kamrup",Kamrup,MGNREGA,10783.46,1963-05-04,9343629489,2022-12-02
154,Leela Sharma,016224999827,95014556168,State Bank of India,"House 300, Gandhi Nagar, Goalpara",Goalpara,PM Awas Yojana,124036.37,1976-08-18,9586833901,2022-06-25
155,Sunita Iyer,262213204104,29483147891,State Bank of India,"House 483, Model Town, Lucknow",Lucknow,MGNREGA,10379.97,1987-06-27,9699994981,2022-01-12
156,Bharat Gupta,014896780826,49312146394,Canara Bank,"House 407, Krishnanagar, Barpeta",Barpeta,Ayushman Bharat,19549.16,1976-04-24,9292645633,2022-05-02
157,Kiran Jha,798768299687,22589370858,State Bank of India,"House 409, Bapunagar, Allahabad",Allahabad,NSP Scholarship,4676.13,1979-12-12,9504056695,2021-11-03
158,Leela Das,904268181845,18489476973,Punjab National Bank,"House 985, Model Town, Lakhimpur",Lakhimpur,Ayushman Bharat,25648.18,1959-12-02,9907141633,2023-12-01
159,Meera Kumar,618091901581,44914766072,UCO Bank,"House 226, Krishnanagar, Sivasagar",Sivasagar,Ayushman Bharat,38603.93,1974-10-15,9245088210,2025-08-28
160,Suresh Roy,851586734257,54090034864,Punjab National Bank,"House 925, Model Town, Darrang",Darrang,PMKVY Skill Dev,16222.98,1980-01-17,9760644134,2024-07-04
